doi,title_cleaned,journal_name_cleaned,features_union_titre_journal,bso_classification
10.5978/islsm.16-OR-02,effect yap laser cad cam ceramic sem ed thermal study,laser therapy,effect yap laser cad cam ceramic sem ed thermal study laser therapy,"Physical sciences, Astronomy"
10.1017/S1365100515000097,social learning consumption,macroeconomic dynamic,social learning consumption macroeconomic dynamic,Mathematics
10.1142/S0219887815501297,superlogic manifold geometric approach quantum logic,international journal geometric method modern physic,superlogic manifold geometric approach quantum logic international journal geometric method modern physic,"Physical sciences, Astronomy"
10.1007/s10603-016-9315-y,critical review cost advertising transformative consumer research perspective,journal consumer policy,critical review cost advertising transformative consumer research perspective journal consumer policy,Biology (fond.)
10.1142/S0219887816500274,dark matter residual topological change,international journal geometric method modern physic,dark matter residual topological change international journal geometric method modern physic,"Physical sciences, Astronomy"
10.1097/PRS.0000000000001856,vascularized lateral antebrachial cutaneous nerve graft based radial artery perforator nerve defect reconstruction,plastic reconstructive surgery,vascularized lateral antebrachial cutaneous nerve graft based radial artery perforator nerve defect reconstruction plastic reconstructive surgery,Medical research
10.1109/TGRS.2016.2528298,estimating intrinsic dimension hyperspectral image using noise whitened eigengap approach,ieee transaction geoscience remote sensing,estimating intrinsic dimension hyperspectral image using noise whitened eigengap approach ieee transaction geoscience remote sensing,"Earth, Ecology, Energy and applied biology"
10.3928/01477447-20160111-01,challenge reverse shoulder arthroplasty addressing glenoid bone loss,orthopedics,challenge reverse shoulder arthroplasty addressing glenoid bone loss orthopedics,Medical research
10.1103/PhysRevD.93.025004,fermionic current schwinger effect sitter spacetime,physical review,fermionic current schwinger effect sitter spacetime physical review,"Physical sciences, Astronomy"
10.1097/DAD.0000000000000511,acquired localized longitudinal pachyonychia onychomatrical tumor comparative study onychomatricomas case onychocytic matricomas case,american journal dermatopathology,acquired localized longitudinal pachyonychia onychomatrical tumor comparative study onychomatricomas case onychocytic matricomas case american journal dermatopathology,Medical research
10.1103/PhysRevD.93.025014,comparison semiclassical wigner function method pair production rotating field,physical review,comparison semiclassical wigner function method pair production rotating field physical review,"Physical sciences, Astronomy"
10.1097/MEJ.0000000000000362,acute respiratory failure drowning retrospective multicenter survey,european journal emergency medicine,acute respiratory failure drowning retrospective multicenter survey european journal emergency medicine,Medical research
10.1097/MD.0000000000002633,predictor high motivation score performing research initiation fellowship master research master phd curriculum medical study,medicine,predictor high motivation score performing research initiation fellowship master research master phd curriculum medical study medicine,Medical research
10.1017/S1743921315008509,small asteroid temporarily captured earth moon system,proceeding international astronomical union,small asteroid temporarily captured earth moon system proceeding international astronomical union,"Earth, Ecology, Energy and applied biology"
10.1212/WNL.0000000000002264,recessive nav mutation underlies congenital myasthenic syndrome periodic paralysis,neurology,recessive nav mutation underlies congenital myasthenic syndrome periodic paralysis neurology,Medical research
10.1007/s10409-015-0487-5,generalized flyby trajectory around elongated minor celestial body rotating mass dipole,acta mechanica sinica,generalized flyby trajectory around elongated minor celestial body rotating mass dipole acta mechanica sinica,"Physical sciences, Astronomy"
10.1530/EJE-15-1099,quality life clinical outcome safety early prophylactic levothyroxine administration patient graf hyperthyroidism undergoing radioiodine therapy randomized controlled study,european journal endocrinology,quality life clinical outcome safety early prophylactic levothyroxine administration patient graf hyperthyroidism undergoing radioiodine therapy randomized controlled study european journal endocrinology,Medical research
10.1109/TSP.2016.2518991,multitask diffusion adaptation over_newline asynchronous network,ieee transaction signal processing,multitask diffusion adaptation over_newline asynchronous network ieee transaction signal processing,Computer and information sciences
10.1038/scientificamerican0516-28,born chaos,scientific american,born chaos scientific american,Humanities
10.1590/S1516-14982016002008,pulsão encarnação transferência,ágora estudos teoria psicanalítica,pulsão encarnação transferência ágora estudos teoria psicanalítica,Humanities
10.2106/JBJS.O.00760,inferior cubital artery perforator flap soft tissue coverage elbow,journal bone joint surgery,inferior cubital artery perforator flap soft tissue coverage elbow journal bone joint surgery,Medical research
10.1097/DAD.0000000000000579,acquired localized monodactylous longitudinal pachyonychia onychocytic carcinoma situ case part,american journal dermatopathology,acquired localized monodactylous longitudinal pachyonychia onychocytic carcinoma situ case part american journal dermatopathology,Medical research
10.1093/mnras/stv2942,del exploring onset pulsation driven wind giant star,monthly notice royal astronomical society,del exploring onset pulsation driven wind giant star monthly notice royal astronomical society,"Physical sciences, Astronomy"
10.1108/IJBM-11-2014-0170,determinant choice islamic bank tunisia,international journal bank marketing,determinant choice islamic bank tunisia international journal bank marketing,Social sciences
10.3847/0004-637X/826/1/44,infrared spectral property magellanic carbon star,astrophysical journal,infrared spectral property magellanic carbon star astrophysical journal,"Physical sciences, Astronomy"
10.1097/CCM.0000000000001580,author reply,critical care medicine,author reply critical care medicine,Medical research
10.4267/2042/58977,revision early cretaceous genus heminautilus spath josanautilus martínez grauges nautilida cenoceratidae,carnets géologie notebook geology,revision early cretaceous genus heminautilus spath josanautilus martínez grauges nautilida cenoceratidae carnets géologie notebook geology,"Earth, Ecology, Energy and applied biology"
10.1159/000442158,epigenetic regulation early childhood miniaturized validated method ass histone acetylation,international archive allergy immunology,epigenetic regulation early childhood miniaturized validated method ass histone acetylation international archive allergy immunology,Medical research
10.1109/HMI.2016.7449159,opening remark,international conference advance human machine interaction hmi,opening remark international conference advance human machine interaction hmi,Mathematics
